rate_area_code,rate_area_name,hhg_origin_pack_price,hhg_destination_unpack_price,ub_origin_pack_price,ub_destination_unpack_price,origin_destination_sit_first_day_warehouse,origin_destination_sit_addl_days,sit_lte_50_miles,sit_gt_50_miles,season
AR,Argentina,$61.05,$7.52,$57.76,$7.24,$5.99,$0.20,$145.31,$217.96,NonPeak
AR,Argentina,$71.43,$9.15,$67.58,$8.47,$7.01,$0.23,$170.01,$255.01,Peak
AS11,New South Wales/Australian Capital Territory,$63.33,$7.52,$61.05,$7.24,$3.42,$0.10,$156.26,$234.40,NonPeak
AS11,New South Wales/Australian Capital Territory,$74.10,$9.15,$71.43,$8.47,$4.00,$0.12,$182.82,$274.25,Peak
AS21,Northern Territory,$65.58,$7.52,$63.33,$7.24,$5.89,$0.10,$164.17,$246.25,NonPeak
AS21,Northern Territory,$76.73,$9.15,$74.10,$8.47,$6.89,$0.12,$192.08,$288.11,Peak
BA,Bahrain,$63.88,$7.52,$65.58,$7.24,$5.29,$0.15,$172.00,$258.00,NonPeak
BA,Bahrain,$74.74,$9.15,$76.73,$8.47,$6.19,$0.18,$201.24,$301.86,Peak
BE,Belgium,$67.48,$7.52,$63.88,$7.24,$4.78,$0.13,$145.31,$217.96,NonPeak
BE,Belgium,$78.95,$9.15,$74.74,$8.47,$5.59,$0.15,$170.01,$255.01,Peak
BL,Bolivia,$70.01,$7.52,$67.48,$7.24,$3.35,$0.07,$156.26,$234.40,NonPeak
BL,Bolivia,$81.91,$9.15,$78.95,$8.47,$3.92,$0.08,$182.82,$274.25,Peak
BR,Brazil - Brazilia,$72.50,$7.52,$70.01,$7.24,$3.39,$0.09,$164.17,$246.25,NonPeak
BR,Brazil - Brazilia,$84.82,$9.15,$81.91,$8.47,$3.97,$0.11,$192.08,$288.11,Peak
CA10,Ontario,$69.97,$7.52,$72.50,$7.24,$7.03,$0.20,$172.00,$258.00,NonPeak
CA10,Ontario,$81.86,$9.15,$84.82,$8.47,$8.23,$0.23,$201.24,$301.86,Peak
CA20,Quebec,$73.95,$7.52,$69.97,$7.24,$3.32,$0.10,$145.31,$217.96,NonPeak
CA20,Quebec,$86.52,$9.15,$81.86,$8.47,$3.88,$0.12,$170.01,$255.01,Peak
CA30,Manitoba,$76.66,$7.52,$73.95,$7.24,$4.33,$0.12,$156.26,$234.40,NonPeak
CA30,Manitoba,$89.69,$9.15,$86.52,$8.47,$5.07,$0.14,$182.82,$274.25,Peak
CI,Chile,$79.40,$7.52,$76.66,$7.24,$7.05,$0.21,$164.17,$246.25,NonPeak
CI,Chile,$92.90,$9.15,$89.69,$8.47,$8.25,$0.25,$192.08,$288.11,Peak
CO,Colombia,$76.04,$7.52,$79.40,$7.24,$5.05,$0.14,$172.00,$258.00,NonPeak
CO,Colombia,$88.97,$9.15,$92.90,$8.47,$5.91,$0.16,$201.24,$301.86,Peak
CS,Costa Rica,$80.37,$7.52,$76.04,$7.24,$4.38,$0.12,$145.31,$217.96,NonPeak
CS,Costa Rica,$94.03,$9.15,$88.97,$8.47,$5.12,$0.14,$170.01,$255.01,Peak
EC,Ecuador,$83.34,$7.52,$80.37,$7.24,$5.39,$0.18,$156.26,$234.40,NonPeak
EC,Ecuador,$97.51,$9.15,$94.03,$8.47,$6.31,$0.21,$182.82,$274.25,Peak
ES,El Salvador,$86.31,$7.52,$83.34,$7.24,$5.17,$0.15,$164.17,$246.25,NonPeak
ES,El Salvador,$100.98,$9.15,$97.51,$8.47,$6.05,$0.18,$192.08,$288.11,Peak
GE,Germany,$57.76,$7.52,$86.31,$7.24,$4.85,$0.16,$172.00,$258.00,NonPeak
GE,Germany,$67.58,$9.15,$100.98,$8.47,$5.67,$0.19,$201.24,$301.86,Peak
GQ,Guam,$61.05,$7.52,$57.76,$7.24,$4.11,$0.14,$145.31,$217.96,NonPeak
GQ,Guam,$71.43,$9.15,$67.58,$8.47,$4.81,$0.16,$170.01,$255.01,Peak
GR,Greece,$63.33,$7.52,$61.05,$7.24,$5.56,$0.13,$156.26,$234.40,NonPeak
GR,Greece,$74.10,$9.15,$71.43,$8.47,$6.51,$0.15,$182.82,$274.25,Peak
GR29,Crete,$65.58,$7.52,$63.33,$7.24,$6.07,$0.14,$164.17,$246.25,NonPeak
GR29,Crete,$76.73,$9.15,$74.10,$8.47,$7.10,$0.16,$192.08,$288.11,Peak
GT,Guatemala,$63.88,$7.52,$65.58,$7.24,$5.74,$0.15,$172.00,$258.00,NonPeak
GT,Guatemala,$74.74,$9.15,$76.73,$8.47,$6.72,$0.18,$201.24,$301.86,Peak
HO,Honduras,$67.48,$7.52,$63.88,$7.24,$5.67,$0.19,$145.31,$217.96,NonPeak
HO,Honduras,$78.95,$9.15,$74.74,$8.47,$6.63,$0.22,$170.01,$255.01,Peak
HU,Hungary,$70.01,$7.52,$67.48,$7.24,$2.99,$0.08,$156.26,$234.40,NonPeak
HU,Hungary,$81.91,$9.15,$78.95,$8.47,$3.50,$0.09,$182.82,$274.25,Peak
IT,Italy,$72.50,$7.52,$70.01,$7.24,$3.36,$0.08,$164.17,$246.25,NonPeak
IT,Italy,$84.82,$9.15,$81.91,$8.47,$3.93,$0.09,$192.08,$288.11,Peak
IT10,Sicily,$69.97,$7.52,$72.50,$7.24,$2.65,$0.11,$172.00,$258.00,NonPeak
IT10,Sicily,$81.86,$9.15,$84.82,$8.47,$3.10,$0.13,$201.24,$301.86,Peak
JA01,Japan-Central,$73.95,$7.52,$69.97,$7.24,$3.51,$0.16,$145.31,$217.96,NonPeak
JA01,Japan-Central,$86.52,$9.15,$81.86,$8.47,$4.11,$0.19,$170.01,$255.01,Peak
JA02,Japan-South (Excludes Hokkaido),$76.66,$7.52,$73.95,$7.24,$5.76,$0.23,$156.26,$234.40,NonPeak
JA02,Japan-South (Excludes Hokkaido),$89.69,$9.15,$86.52,$8.47,$6.74,$0.27,$182.82,$274.25,Peak
JA03,Japan-North,$79.40,$7.52,$76.66,$7.24,$5.15,$0.26,$164.17,$246.25,NonPeak
JA03,Japan-North,$92.90,$9.15,$89.69,$8.47,$6.03,$0.30,$192.08,$288.11,Peak
JA96,Okinawa,$76.04,$7.52,$79.40,$7.24,$6.22,$0.33,$145.31,$258.00,NonPeak
JA96,Okinawa,$88.97,$9.15,$92.90,$8.47,$7.28,$0.39,$170.01,$301.86,Peak
KS,"Korea, Republic Of",$80.37,$7.52,$76.04,$7.24,$6.07,$0.17,$156.26,$217.96,NonPeak
KS,"Korea, Republic Of",$94.03,$9.15,$88.97,$8.47,$7.10,$0.20,$182.82,$255.01,Peak
KU,Kuwait,$83.34,$7.52,$80.37,$7.24,$5.03,$0.29,$164.17,$234.40,NonPeak
KU,Kuwait,$97.51,$9.15,$94.03,$8.47,$5.89,$0.34,$192.08,$274.25,Peak
NL,Netherlands,$86.31,$7.52,$83.34,$7.24,$5.29,$0.30,$172.00,$246.25,NonPeak
NL,Netherlands,$100.98,$9.15,$97.51,$8.47,$6.19,$0.35,$201.24,$288.11,Peak
NO,Norway,$57.76,$7.52,$86.31,$7.24,$3.12,$0.15,$145.31,$258.00,NonPeak
NO,Norway,$67.58,$9.15,$100.98,$8.47,$3.65,$0.18,$170.01,$301.86,Peak
PA,Paraguay,$61.05,$7.52,$57.76,$7.24,$3.28,$0.16,$156.26,$217.96,NonPeak
PA,Paraguay,$71.43,$9.15,$67.58,$8.47,$3.84,$0.19,$182.82,$255.01,Peak
PE,Peru,$63.33,$7.52,$61.05,$7.24,$4.35,$0.21,$164.17,$234.40,NonPeak
PE,Peru,$74.10,$9.15,$71.43,$8.47,$5.09,$0.25,$192.08,$274.25,Peak
PL,Poland,$65.58,$7.52,$63.33,$7.24,$5.50,$0.26,$172.00,$246.25,NonPeak
PL,Poland,$76.73,$9.15,$74.10,$8.47,$6.43,$0.30,$201.24,$288.11,Peak
PO,Portugal,$63.88,$7.52,$65.58,$7.24,$3.92,$0.20,$145.31,$258.00,NonPeak
PO,Portugal,$74.74,$9.15,$76.73,$8.47,$4.59,$0.23,$170.01,$301.86,Peak
PO01,Azores,$67.48,$7.52,$63.88,$7.24,$4.85,$0.26,$156.26,$217.96,NonPeak
PO01,Azores,$78.95,$9.15,$74.74,$8.47,$5.67,$0.30,$182.82,$255.01,Peak
QA,Qatar,$70.01,$7.52,$67.48,$7.24,$5.62,$0.28,$164.17,$234.40,NonPeak
QA,Qatar,$81.91,$9.15,$78.95,$8.47,$6.58,$0.33,$192.08,$274.25,Peak
RO,Romania,$72.50,$7.52,$70.01,$7.24,$2.47,$0.10,$172.00,$246.25,NonPeak
RO,Romania,$84.82,$9.15,$81.91,$8.47,$2.89,$0.12,$201.24,$288.11,Peak
RQ,Puerto Rico,$69.97,$7.52,$72.50,$7.24,$5.99,$0.20,$145.31,$258.00,NonPeak
RQ,Puerto Rico,$81.86,$9.15,$84.82,$8.47,$7.01,$0.23,$170.01,$301.86,Peak
SA,Saudi Arabia,$73.95,$7.52,$69.97,$7.24,$3.42,$0.10,$156.26,$217.96,NonPeak
SA,Saudi Arabia,$86.52,$9.15,$81.86,$8.47,$4.00,$0.12,$182.82,$255.01,Peak
SN,Singapore,$76.66,$7.52,$73.95,$7.24,$5.89,$0.10,$164.17,$234.40,NonPeak
SN,Singapore,$89.69,$9.15,$86.52,$8.47,$6.89,$0.12,$192.08,$274.25,Peak
SP,Spain,$79.40,$7.52,$76.66,$7.24,$5.29,$0.15,$172.00,$246.25,NonPeak
SP,Spain,$92.90,$9.15,$89.69,$8.47,$6.19,$0.18,$201.24,$288.11,Peak
TU,Turkey,$76.04,$7.52,$79.40,$7.24,$4.78,$0.13,$145.31,$258.00,NonPeak
TU,Turkey,$88.97,$9.15,$92.90,$8.47,$5.59,$0.15,$170.01,$301.86,Peak
UK,United Kingdom,$80.37,$7.52,$76.04,$7.24,$3.35,$0.07,$156.26,$217.96,NonPeak
UK,United Kingdom,$94.03,$9.15,$88.97,$8.47,$3.92,$0.08,$182.82,$255.01,Peak
UY,Uruguay,$83.34,$7.52,$80.37,$7.24,$3.39,$0.09,$164.17,$234.40,NonPeak
UY,Uruguay,$97.51,$9.15,$94.03,$8.47,$3.97,$0.11,$192.08,$274.25,Peak
VE,Venezuela,$86.31,$7.52,$83.34,$7.24,$7.03,$0.20,$172.00,$246.25,NonPeak
VE,Venezuela,$100.98,$9.15,$97.51,$8.47,$8.23,$0.23,$201.24,$288.11,Peak
US11,Maine,$57.76,$7.52,$86.31,$7.24,$3.32,$0.10,$145.31,$258.00,NonPeak
US11,Maine,$67.58,$9.15,$100.98,$8.47,$3.88,$0.12,$170.01,$301.86,Peak
US12,New Hampshire,$61.05,$7.52,$57.76,$7.24,$4.33,$0.12,$156.26,$217.96,NonPeak
US12,New Hampshire,$71.43,$9.15,$67.58,$8.47,$5.07,$0.14,$182.82,$255.01,Peak
US13,Vermont,$63.33,$7.52,$61.05,$7.24,$7.05,$0.21,$164.17,$234.40,NonPeak
US13,Vermont,$74.10,$9.15,$71.43,$8.47,$8.25,$0.25,$192.08,$274.25,Peak
US14,Massachusetts,$65.58,$7.52,$63.33,$7.24,$5.05,$0.14,$172.00,$246.25,NonPeak
US14,Massachusetts,$76.73,$9.15,$74.10,$8.47,$5.91,$0.16,$201.24,$288.11,Peak
US15,Rhode Island,$63.88,$7.52,$65.58,$7.24,$4.38,$0.12,$145.31,$258.00,NonPeak
US15,Rhode Island,$74.74,$9.15,$76.73,$8.47,$5.12,$0.14,$170.01,$301.86,Peak
US16,Connecticut,$67.48,$7.52,$63.88,$7.24,$5.39,$0.18,$156.26,$217.96,NonPeak
US16,Connecticut,$78.95,$9.15,$74.74,$8.47,$6.31,$0.21,$182.82,$255.01,Peak
US17,New York,$70.01,$7.52,$67.48,$7.24,$5.17,$0.15,$164.17,$234.40,NonPeak
US17,New York,$81.91,$9.15,$78.95,$8.47,$6.05,$0.18,$192.08,$274.25,Peak
US19,New Jersey,$72.50,$7.52,$70.01,$7.24,$4.85,$0.16,$172.00,$246.25,NonPeak
US19,New Jersey,$84.82,$9.15,$81.91,$8.47,$5.67,$0.19,$201.24,$288.11,Peak
US20,Pennsylvania,$69.97,$7.52,$72.50,$7.24,$4.11,$0.14,$145.31,$258.00,NonPeak
US20,Pennsylvania,$81.86,$9.15,$84.82,$8.47,$4.81,$0.16,$170.01,$301.86,Peak
US22,Delaware,$73.95,$7.52,$69.97,$7.24,$5.56,$0.13,$156.26,$217.96,NonPeak
US22,Delaware,$86.52,$9.15,$81.86,$8.47,$6.51,$0.15,$182.82,$255.01,Peak
US23,Maryland,$76.66,$7.52,$73.95,$7.24,$6.07,$0.14,$164.17,$234.40,NonPeak
US23,Maryland,$89.69,$9.15,$86.52,$8.47,$7.10,$0.16,$192.08,$274.25,Peak
US24,District Of Columbia,$79.40,$7.52,$76.66,$7.24,$5.74,$0.15,$172.00,$246.25,NonPeak
US24,District Of Columbia,$92.90,$9.15,$89.69,$8.47,$6.72,$0.18,$201.24,$288.11,Peak
US25,Virginia,$76.04,$7.52,$79.40,$7.24,$5.67,$0.19,$145.31,$258.00,NonPeak
US25,Virginia,$88.97,$9.15,$92.90,$8.47,$6.63,$0.22,$170.01,$301.86,Peak
US27,West Virginia,$80.37,$7.52,$76.04,$7.24,$2.99,$0.08,$156.26,$217.96,NonPeak
US27,West Virginia,$94.03,$9.15,$88.97,$8.47,$3.50,$0.09,$182.82,$255.01,Peak
US28,Kentucky,$83.34,$7.52,$80.37,$7.24,$3.36,$0.08,$164.17,$234.40,NonPeak
US28,Kentucky,$97.51,$9.15,$94.03,$8.47,$3.93,$0.09,$192.08,$274.25,Peak
US30,Michigan,$86.31,$7.52,$83.34,$7.24,$2.65,$0.11,$172.00,$246.25,NonPeak
US30,Michigan,$100.98,$9.15,$97.51,$8.47,$3.10,$0.13,$201.24,$288.11,Peak
US32,Wisconsin,$57.76,$7.52,$86.31,$7.24,$3.51,$0.16,$145.31,$258.00,NonPeak
US32,Wisconsin,$67.58,$9.15,$100.98,$8.47,$4.11,$0.19,$170.01,$301.86,Peak
US34,Ohio,$61.05,$7.52,$57.76,$7.24,$5.76,$0.23,$156.26,$217.96,NonPeak
US34,Ohio,$71.43,$9.15,$67.58,$8.47,$6.74,$0.27,$182.82,$255.01,Peak
US36,Indiana,$63.33,$7.52,$61.05,$7.24,$5.15,$0.26,$164.17,$234.40,NonPeak
US36,Indiana,$74.10,$9.15,$71.43,$8.47,$6.03,$0.30,$192.08,$274.25,Peak
US38,Illinois,$65.58,$7.52,$63.33,$7.24,$6.22,$0.33,$172.00,$246.25,NonPeak
US38,Illinois,$76.73,$9.15,$74.10,$8.47,$7.28,$0.39,$201.24,$288.11,Peak
US40,North Carolina,$63.88,$7.52,$65.58,$7.24,$6.07,$0.17,$145.31,$258.00,NonPeak
US40,North Carolina,$74.74,$9.15,$76.73,$8.47,$7.10,$0.20,$170.01,$301.86,Peak
US42,Tennessee,$67.48,$7.52,$63.88,$7.24,$5.03,$0.29,$156.26,$217.96,NonPeak
US42,Tennessee,$78.95,$9.15,$74.74,$8.47,$5.89,$0.34,$182.82,$255.01,Peak
US44,South Carolina,$70.01,$7.52,$67.48,$7.24,$5.29,$0.30,$164.17,$234.40,NonPeak
US44,South Carolina,$81.91,$9.15,$78.95,$8.47,$6.19,$0.35,$192.08,$274.25,Peak
US45,Georgia,$72.50,$7.52,$70.01,$7.24,$3.12,$0.15,$145.31,$246.25,NonPeak
US45,Georgia,$84.82,$9.15,$81.91,$8.47,$3.65,$0.18,$170.01,$288.11,Peak
US47,Alabama,$69.97,$7.52,$72.50,$7.24,$3.28,$0.16,$156.26,$258.00,NonPeak
US47,Alabama,$81.86,$9.15,$84.82,$8.47,$3.84,$0.19,$182.82,$301.86,Peak
US48,Mississippi,$73.95,$7.52,$69.97,$7.24,$4.35,$0.21,$164.17,$217.96,NonPeak
US48,Mississippi,$86.52,$9.15,$81.86,$8.47,$5.09,$0.25,$192.08,$255.01,Peak
US49,Florida-North,$76.66,$7.52,$73.95,$7.24,$5.50,$0.26,$172.00,$234.40,NonPeak
US49,Florida-North,$89.69,$9.15,$86.52,$8.47,$6.43,$0.30,$201.24,$274.25,Peak
US4964400,Florida-South,$79.40,$7.52,$76.66,$7.24,$3.92,$0.20,$145.31,$246.25,NonPeak
US4964400,Florida-South,$92.90,$9.15,$89.69,$8.47,$4.59,$0.23,$170.01,$288.11,Peak
US4965500,Florida Keys,$76.04,$7.52,$79.40,$7.24,$4.85,$0.26,$156.26,$258.00,NonPeak
US4965500,Florida Keys,$88.97,$9.15,$92.90,$8.47,$5.67,$0.30,$182.82,$301.86,Peak
US50,Minnesota,$80.37,$7.52,$76.04,$7.24,$5.62,$0.28,$164.17,$217.96,NonPeak
US50,Minnesota,$94.03,$9.15,$88.97,$8.47,$6.58,$0.33,$192.08,$255.01,Peak
US51,North Dakota,$83.34,$7.52,$80.37,$7.24,$2.47,$0.10,$172.00,$234.40,NonPeak
US51,North Dakota,$97.51,$9.15,$94.03,$8.47,$2.89,$0.12,$201.24,$274.25,Peak
US52,South Dakota,$86.31,$7.52,$83.34,$7.24,$5.99,$0.20,$145.31,$246.25,NonPeak
US52,South Dakota,$100.98,$9.15,$97.51,$8.47,$7.01,$0.23,$170.01,$288.11,Peak
US53,Iowa,$57.76,$7.52,$86.31,$7.24,$3.42,$0.10,$156.26,$258.00,NonPeak
US53,Iowa,$67.58,$9.15,$100.98,$8.47,$4.00,$0.12,$182.82,$301.86,Peak
US55,Nebraska,$61.05,$7.52,$57.76,$7.24,$5.89,$0.10,$164.17,$217.96,NonPeak
US55,Nebraska,$71.43,$9.15,$67.58,$8.47,$6.89,$0.12,$192.08,$255.01,Peak
US56,Missouri,$63.33,$7.52,$61.05,$7.24,$5.29,$0.15,$172.00,$234.40,NonPeak
US56,Missouri,$74.10,$9.15,$71.43,$8.47,$6.19,$0.18,$201.24,$274.25,Peak
US58,Kansas,$65.58,$7.52,$63.33,$7.24,$4.78,$0.13,$145.31,$246.25,NonPeak
US58,Kansas,$76.73,$9.15,$74.10,$8.47,$5.59,$0.15,$170.01,$288.11,Peak
US60,Arkansas,$63.88,$7.52,$65.58,$7.24,$3.35,$0.07,$156.26,$258.00,NonPeak
US60,Arkansas,$74.74,$9.15,$76.73,$8.47,$3.92,$0.08,$182.82,$301.86,Peak
US62,Oklahoma,$67.48,$7.52,$63.88,$7.24,$3.39,$0.09,$164.17,$217.96,NonPeak
US62,Oklahoma,$78.95,$9.15,$74.74,$8.47,$3.97,$0.11,$192.08,$255.01,Peak
US64,Louisiana,$70.01,$7.52,$67.48,$7.24,$7.03,$0.20,$172.00,$234.40,NonPeak
US64,Louisiana,$81.91,$9.15,$78.95,$8.47,$8.23,$0.23,$201.24,$274.25,Peak
US66,Texas-North,$72.50,$7.52,$70.01,$7.24,$3.32,$0.10,$172.00,$246.25,NonPeak
US66,Texas-North,$84.82,$9.15,$81.91,$8.47,$3.88,$0.12,$201.24,$288.11,Peak
US68,Texas-South,$69.97,$7.52,$72.50,$7.24,$4.33,$0.12,$145.31,$258.00,NonPeak
US68,Texas-South,$81.86,$9.15,$84.82,$8.47,$5.07,$0.14,$170.01,$301.86,Peak
US70,Montana,$73.95,$7.52,$69.97,$7.24,$7.05,$0.21,$156.26,$217.96,NonPeak
US70,Montana,$86.52,$9.15,$81.86,$8.47,$8.25,$0.25,$182.82,$255.01,Peak
US72,Wyoming,$76.66,$7.52,$73.95,$7.24,$5.05,$0.14,$164.17,$234.40,NonPeak
US72,Wyoming,$89.69,$9.15,$86.52,$8.47,$5.91,$0.16,$192.08,$274.25,Peak
US74,Colorado,$79.40,$7.52,$76.66,$7.24,$4.38,$0.12,$145.31,$246.25,NonPeak
US74,Colorado,$92.90,$9.15,$89.69,$8.47,$5.12,$0.14,$170.01,$288.11,Peak
US76,Utah,$76.04,$7.52,$79.40,$7.24,$5.39,$0.18,$156.26,$258.00,NonPeak
US76,Utah,$88.97,$9.15,$92.90,$8.47,$6.31,$0.21,$182.82,$301.86,Peak
US77,New Mexico,$80.37,$7.52,$76.04,$7.24,$5.17,$0.15,$164.17,$217.96,NonPeak
US77,New Mexico,$94.03,$9.15,$88.97,$8.47,$6.05,$0.18,$192.08,$255.01,Peak
US79,Arizona,$83.34,$7.52,$80.37,$7.24,$4.85,$0.16,$172.00,$234.40,NonPeak
US79,Arizona,$97.51,$9.15,$94.03,$8.47,$5.67,$0.19,$201.24,$274.25,Peak
US8030400,Alaska (Zone) IV,$86.31,$7.52,$83.34,$7.24,$4.11,$0.14,$145.31,$246.25,NonPeak
US8030400,Alaska (Zone) IV,$100.98,$9.15,$97.51,$8.47,$4.81,$0.16,$170.01,$288.11,Peak
US8050500,Alaska (Zone) III,$57.76,$7.52,$86.31,$7.24,$5.56,$0.13,$156.26,$258.00,NonPeak
US8050500,Alaska (Zone) III,$67.58,$9.15,$100.98,$8.47,$6.51,$0.15,$182.82,$301.86,Peak
US8101000,Alaska (Zone) I,$61.05,$7.52,$57.76,$7.24,$6.07,$0.14,$164.17,$217.96,NonPeak
US8101000,Alaska (Zone) I,$71.43,$9.15,$67.58,$8.47,$7.10,$0.16,$192.08,$255.01,Peak
US8190100,Alaska (Zone) II,$63.33,$7.52,$61.05,$7.24,$5.74,$0.15,$172.00,$234.40,NonPeak
US8190100,Alaska (Zone) II,$74.10,$9.15,$71.43,$8.47,$6.72,$0.18,$201.24,$274.25,Peak
US83,Idaho,$65.58,$7.52,$63.33,$7.24,$5.67,$0.19,$145.31,$246.25,NonPeak
US83,Idaho,$76.73,$9.15,$74.10,$8.47,$6.63,$0.22,$170.01,$288.11,Peak
US84,Washington,$63.88,$7.52,$65.58,$7.24,$2.99,$0.08,$156.26,$258.00,NonPeak
US84,Washington,$74.74,$9.15,$76.73,$8.47,$3.50,$0.09,$182.82,$301.86,Peak
US85,Oregon,$67.48,$7.52,$63.88,$7.24,$3.36,$0.08,$164.17,$217.96,NonPeak
US85,Oregon,$78.95,$9.15,$74.74,$8.47,$3.93,$0.09,$192.08,$255.01,Peak
US86,Nevada,$70.01,$7.52,$67.48,$7.24,$2.65,$0.11,$172.00,$234.40,NonPeak
US86,Nevada,$81.91,$9.15,$78.95,$8.47,$3.10,$0.13,$201.24,$274.25,Peak
US87,California-North,$72.50,$7.52,$70.01,$7.24,$3.51,$0.16,$145.31,$246.25,NonPeak
US87,California-North,$84.82,$9.15,$81.91,$8.47,$4.11,$0.19,$170.01,$288.11,Peak
US88,California-South,$69.97,$7.52,$72.50,$7.24,$5.76,$0.23,$156.26,$258.00,NonPeak
US88,California-South,$81.86,$9.15,$84.82,$8.47,$6.74,$0.27,$182.82,$301.86,Peak
US89,Hawaii,$73.95,$7.52,$69.97,$7.24,$5.15,$0.26,$164.17,$217.96,NonPeak
US89,Hawaii,$86.52,$9.15,$81.86,$8.47,$6.03,$0.30,$192.08,$255.01,Peak
NSRA1,Canada West,$76.66,$7.52,$73.95,$7.24,$6.22,$0.33,$172.00,$234.40,NonPeak
NSRA1,Canada West,$89.69,$9.15,$86.52,$8.47,$7.28,$0.39,$201.24,$274.25,Peak
NSRA2,Canada Central,$79.40,$7.52,$76.66,$7.24,$6.07,$0.17,$156.26,$246.25,NonPeak
NSRA2,Canada Central,$92.90,$9.15,$89.69,$8.47,$7.10,$0.20,$182.82,$288.11,Peak
NSRA3,Canada East,$76.04,$7.52,$79.40,$7.24,$5.03,$0.29,$164.17,$258.00,NonPeak
NSRA3,Canada East,$88.97,$9.15,$92.90,$8.47,$5.89,$0.34,$192.08,$301.86,Peak
NSRA4,Mexico & Central America,$80.37,$7.52,$76.04,$7.24,$5.29,$0.30,$172.00,$217.96,NonPeak
NSRA4,Mexico & Central America,$94.03,$9.15,$88.97,$8.47,$6.19,$0.35,$201.24,$255.01,Peak
NSRA5,Caribbean Islands,$83.34,$7.52,$80.37,$7.24,$3.12,$0.15,$145.31,$234.40,NonPeak
NSRA5,Caribbean Islands,$97.51,$9.15,$94.03,$8.47,$3.65,$0.18,$170.01,$274.25,Peak
NSRA6,South America,$86.31,$7.52,$83.34,$7.24,$3.28,$0.16,$156.26,$246.25,NonPeak
NSRA6,South America,$100.98,$9.15,$97.51,$8.47,$3.84,$0.19,$182.82,$288.11,Peak
NSRA7,Europe,$73.95,$7.52,$86.31,$7.24,$4.35,$0.21,$164.17,$258.00,NonPeak
NSRA7,Europe,$86.52,$9.15,$100.98,$8.47,$5.09,$0.25,$192.08,$301.86,Peak
NSRA8,Africa - North,$76.66,$7.52,$73.95,$7.24,$5.50,$0.26,$172.00,$217.96,NonPeak
NSRA8,Africa - North,$89.69,$9.15,$86.52,$8.47,$6.43,$0.30,$201.24,$255.01,Peak
NSRA9,Africa - South,$79.40,$7.52,$76.66,$7.24,$3.92,$0.20,$145.31,$234.40,NonPeak
NSRA9,Africa - South,$92.90,$9.15,$89.69,$8.47,$4.59,$0.23,$170.01,$274.25,Peak
NSRA10,Middle East,$76.04,$7.52,$79.40,$7.24,$4.85,$0.26,$156.26,$246.25,NonPeak
NSRA10,Middle East,$88.97,$9.15,$92.90,$8.47,$5.67,$0.30,$182.82,$288.11,Peak
NSRA11,Asia,$80.37,$7.52,$76.04,$7.24,$5.62,$0.28,$164.17,$258.00,NonPeak
NSRA11,Asia,$94.03,$9.15,$88.97,$8.47,$6.58,$0.33,$192.08,$301.86,Peak
NSRA12,Asia - South,$83.34,$7.52,$80.37,$7.24,$2.47,$0.10,$172.00,$234.40,NonPeak
NSRA12,Asia - South,$97.51,$9.15,$94.03,$8.47,$2.89,$0.12,$201.24,$274.25,Peak
NSRA13,Pacific Islands,$86.31,$7.52,$83.34,$7.24,$5.62,$0.28,$164.17,$246.25,NonPeak
NSRA13,Pacific Islands,$100.98,$9.15,$97.51,$8.47,$6.58,$0.33,$192.08,$288.11,Peak
NSRA14,Australia & New Zealand,$57.76,$7.52,$86.31,$7.24,$2.47,$0.10,$172.00,$258.00,NonPeak
NSRA14,Australia & New Zealand,$67.58,$9.15,$100.98,$8.47,$2.89,$0.12,$201.24,$301.86,Peak
NSRA15,Alaska - All other areas,$57.76,$7.52,$57.76,$7.24,$5.99,$0.20,$145.31,$217.96,NonPeak
NSRA15,Alaska - All other areas,$76.73,$9.15,$67.58,$8.47,$7.01,$0.23,$170.01,$255.01,Peak
